date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:21	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Feb%202020%2006:14:20%20GMT	https://esp32.vn/robots.txt		(from )
13:14:21	32338/32338	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/	C:/My%20Web%20Sites/ESP32/esp32.vn/index.html	(from )
13:14:23	114591/114591	---MCZ	200	added ('OK')	text/css	etag:W/%22599a9a70-1bf9f%22	https://esp32.vn/_static/css/theme.css	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/css/theme.css	(from https://esp32.vn/)
13:14:24	49450/49450	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/genindex.html	C:/My%20Web%20Sites/ESP32/esp32.vn/genindex.html	(from https://esp32.vn/)
13:14:25	17821/17821	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/search.html	C:/My%20Web%20Sites/ESP32/esp32.vn/search.html	(from https://esp32.vn/)
13:14:26	19203/19203	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/hardware/index.html	C:/My%20Web%20Sites/ESP32/esp32.vn/hardware/index.html	(from https://esp32.vn/)
13:14:26	15414/15414	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599a9a70-3c36%22	https://esp32.vn/_static/js/modernizr.min.js	C:/My%20Web%20Sites/ESP32/esp32.vn/_static/js/modernizr.min.js	(from https://esp32.vn/)
13:14:27	18725/18725	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/hardware/board.html	C:/My%20Web%20Sites/ESP32/esp32.vn/hardware/board.html	(from https://esp32.vn/)
13:14:28	21217/21217	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/hardware/connection.html	C:/My%20Web%20Sites/ESP32/esp32.vn/hardware/connection.html	(from https://esp32.vn/)
13:14:28	20141/20141	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/arduino/index.html	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/index.html	(from https://esp32.vn/)
13:14:29	25464/25464	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/arduino/install.html	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/install.html	(from https://esp32.vn/)
13:14:30	18658/18658	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/arduino/library.html	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/library.html	(from https://esp32.vn/)
13:14:30	25609/25609	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/arduino/blink.html	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/blink.html	(from https://esp32.vn/)
13:14:35	42776/42776	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/arduino/i2c_oled.html	C:/My%20Web%20Sites/ESP32/esp32.vn/arduino/i2c_oled.html	(from https://esp32.vn/)
13:14:35	26643/26643	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Aug%202017%2008:31:44%20GMT	https://esp32.vn/idf/index.html	C:/My%20Web%20Sites/ESP32/esp32.vn/idf/index.html	(from https://esp32.vn/)
